,name,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,season,team
0,Aamer Azmat,5,1,1,0,3,0,-,-,3,-,0,0,3,0,2021/2022,Multan Sultans
0,Aamer Yamin,4,3,5,0,79,2,23-Jan,39.5,15.8,15,0,0,1,0,2020/2021,Karachi Kings
0,Aamer Yamin,3,3,8.1,1,48,3,17-Feb,16,5.87,16.3,0,0,0,0,2019/2020,Karachi Kings
0,Aamer Yamin,8,8,28,0,230,6,Mar-37,38.33,8.21,28,0,0,3,0,2018/2019,Karachi Kings
0,Aamer Yamin,2,2,3,0,42,0,-,-,14,-,0,0,1,0,2017/2018,Lahore Qalandars
0,Aamer Yamin,2,2,7,0,54,1,21-Jan,54,7.71,42,0,0,0,0,2016/2017,Peshawar Zalmi
0,Aamer Yamin,2,2,7,0,54,1,21-Jan,54,7.71,42,0,0,0,0,2015/2016,Peshawar Zalmi
1,Aamer Yamin,5,5,11,0,113,1,Jan-36,113,10.27,66,0,0,1,0,2021/2022,Karachi Kings
1,Abbas Afridi,4,4,10,0,102,4,27-Feb,25.5,10.2,15,0,0,1,0,2020/2021,Karachi Kings
1,Abdul Nasir,1,1,3,0,26,0,-,-,8.66,-,0,0,2,0,2019/2020,Quetta Gladiators
1,Agha Salman,3,2,2.1,0,20,0,-,-,9.23,-,0,0,0,0,2018/2019,Lahore Qalandars
1,KJ Abbott,1,1,3,0,25,1,25-Jan,25,8.33,18,0,0,0,0,2017/2018,Lahore Qalandars
1,Abdur Rehman,1,1,3,0,28,0,-,-,9.33,-,0,0,1,0,2016/2017,Peshawar Zalmi
1,Abdur Rehman,1,1,3,0,28,0,-,-,9.33,-,0,0,1,0,2015/2016,Peshawar Zalmi
2,Abbas Afridi,5,5,15,0,127,3,20-Jan,42.33,8.46,30,0,0,0,0,2021/2022,Multan Sultans
2,Abdul Nasir,1,1,4,0,15,1,15-Jan,15,3.75,24,0,0,0,0,2020/2021,Quetta Gladiators
2,Adil Amin,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2019/2020,Peshawar Zalmi
2,Ahmed Shehzad,8,-,-,-,-,-,-,-,-,-,-,-,5,0,2018/2019,Quetta Gladiators
2,Agha Salman,8,2,2,0,13,0,-,-,6.5,-,0,0,1,0,2017/2018,Lahore Qalandars
2,Adnan Rasool,3,2,6,0,67,0,-,-,11.16,-,0,0,0,0,2016/2017,Lahore Qalandars
2,Adnan Rasool,3,2,6,0,67,0,-,-,11.16,-,0,0,0,0,2015/2016,Lahore Qalandars
3,Abdullah Shafique,11,-,-,-,-,-,-,-,-,-,-,-,7,0,2021/2022,Lahore Qalandars
3,Abrar Ahmed,2,2,7,0,62,3,14-Mar,20.66,8.85,14,0,0,0,0,2020/2021,Peshawar Zalmi
3,Ahmed Safi Abdullah,3,3,8,0,65,4,17-Feb,16.25,8.12,12,0,0,0,0,2019/2020,Islamabad United
3,Ahsan Ali,8,1,1,0,9,1,9-Jan,9,9,6,0,0,5,0,2018/2019,Quetta Gladiators
3,Ahmed Shehzad,10,-,-,-,-,-,-,-,-,-,-,-,7,0,2017/2018,Multan Sultans
3,Ahmed Shehzad,10,-,-,-,-,-,-,-,-,-,-,-,4,0,2016/2017,Quetta Gladiators
3,Ahmed Shehzad,10,-,-,-,-,-,-,-,-,-,-,-,4,0,2015/2016,Quetta Gladiators
4,Abdul Bangalzai,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Quetta Gladiators
4,Agha Salman,4,-,-,-,-,-,-,-,-,-,-,-,2,0,2020/2021,Lahore Qalandars
4,Ahmed Shehzad,7,-,-,-,-,-,-,-,-,-,-,-,3,0,2019/2020,Quetta Gladiators
4,Aizaz Cheema,1,1,3,0,32,0,-,-,10.66,-,0,0,0,0,2018/2019,Lahore Qalandars
4,Amad Butt,5,5,13.1,0,116,5,Feb-30,23.2,8.81,15.8,0,0,1,0,2017/2018,Islamabad United
4,Aizaz Cheema,4,4,14,0,104,6,14-Feb,17.33,7.42,14,0,0,3,0,2016/2017,Quetta Gladiators
4,Aizaz Cheema,4,4,14,0,104,6,14-Feb,17.33,7.42,14,0,0,3,0,2015/2016,Quetta Gladiators
5,Ahsan Ali,8,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Quetta Gladiators
5,Ahmed Daniyal,10,10,35,0,330,6,Feb-29,55,9.42,35,0,0,1,0,2020/2021,Lahore Qalandars
5,Ahsan Ali,3,-,-,-,-,-,-,-,-,-,-,-,1,0,2019/2020,Quetta Gladiators
5,Ali Shafiq,2,2,5.4,0,20,2,11-Feb,10,3.52,17,0,0,0,0,2018/2019,Multan Sultans
5,Anwar Ali,11,10,27.4,0,205,7,21-Feb,29.28,7.4,23.7,0,0,5,0,2017/2018,Quetta Gladiators
5,Akbar-ur-Rehman,7,3,4,0,29,0,-,-,7.25,-,0,0,3,0,2016/2017,Quetta Gladiators
5,Akbar-ur-Rehman,7,3,4,0,29,0,-,-,7.25,-,0,0,3,0,2015/2016,Quetta Gladiators
6,Ali Majid,1,1,4,0,33,0,-,-,8.25,-,0,0,0,0,2021/2022,Peshawar Zalmi
6,Akif Javed,5,5,19,0,160,6,Mar-43,26.66,8.42,19,0,0,1,0,2020/2021,Islamabad United
6,Akif Javed,6,5,15,0,125,4,20-Jan,31.25,8.33,22.5,0,0,1,0,2019/2020,Islamabad United
6,Amad Butt,2,2,8,0,67,4,Mar-40,16.75,8.37,12,0,0,3,0,2018/2019,Islamabad United
6,JC Archer,2,2,8,0,53,5,23-Mar,10.6,6.62,9.6,0,0,1,0,2017/2018,Quetta Gladiators
6,J Allenby,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Peshawar Zalmi
6,J Allenby,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Peshawar Zalmi
7,Amad Butt,2,2,6,0,46,1,20-Jan,46,7.66,36,0,0,1,0,2021/2022,Peshawar Zalmi
7,Ali Khan,3,3,8.2,0,70,2,10-Jan,35,8.4,25,0,0,1,0,2020/2021,Islamabad United
7,MM Ali,9,6,11,0,110,5,13-Feb,22,10,13.2,0,0,6,0,2019/2020,Multan Sultans
7,CJ Anderson,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Lahore Qalandars
7,Asad Shafiq,8,-,-,-,-,-,-,-,-,-,-,-,3,0,2017/2018,Quetta Gladiators
7,Anwar Ali,9,9,29.5,1,258,9,Feb-33,28.66,8.64,19.8,0,0,3,0,2016/2017,Quetta Gladiators
7,Anwar Ali,9,9,29.5,1,258,9,Feb-33,28.66,8.64,19.8,0,0,3,0,2015/2016,Quetta Gladiators
8,Anwar Ali,4,4,9,0,79,2,11-Jan,39.5,8.77,27,0,0,5,0,2021/2022,Multan Sultans
8,FA Allen,3,3,8,0,83,3,Feb-36,27.66,10.37,16,0,0,1,0,2020/2021,Peshawar Zalmi
8,Ali Khan,1,1,3,0,36,1,Jan-36,36,12,18,0,0,0,0,2019/2020,Karachi Kings
8,Anwar Ali,3,2,7.4,0,67,1,27-Jan,67,8.73,46,0,0,0,0,2018/2019,Quetta Gladiators
8,Asif Ali,12,-,-,-,-,-,-,-,-,-,-,-,6,0,2017/2018,Islamabad United
8,Asad Shafiq,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Quetta Gladiators
8,Asad Shafiq,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Quetta Gladiators
9,Arish Ali,1,1,3,0,36,0,-,-,12,-,0,0,0,0,2021/2022,Peshawar Zalmi
9,Amad Butt,4,4,14.3,0,166,2,26-Jan,83,11.44,43.5,0,0,0,0,2020/2021,Peshawar Zalmi
9,Ali Shafiq,2,2,6.5,0,71,2,Feb-31,35.5,10.39,20.5,0,0,0,0,2019/2020,Multan Sultans
9,Asif Ali,12,-,-,-,-,-,-,-,-,-,-,-,4,0,2018/2019,Islamabad United
9,Babar Azam,12,-,-,-,-,-,-,-,-,-,-,-,4,0,2017/2018,Karachi Kings
9,Ashar Zaidi,3,2,8,0,59,0,-,-,7.37,-,0,0,0,0,2016/2017,Islamabad United
9,Ashar Zaidi,3,2,8,0,59,0,-,-,7.37,-,0,0,0,0,2015/2016,Islamabad United
10,Arshad Iqbal,1,1,4,0,30,2,Feb-30,15,7.5,12,0,0,0,0,2021/2022,Peshawar Zalmi
10,Anwar Ali,1,1,3,0,33,0,-,-,11,-,0,0,0,0,2020/2021,Quetta Gladiators
10,Amad Butt,5,4,14.4,0,143,5,27-Apr,28.6,9.75,17.6,1,0,3,0,2019/2020,Islamabad United
10,Awais Zia,2,1,0.1,0,4,0,-,-,24,-,0,0,0,0,2018/2019,Karachi Kings
10,Bilal Asif,1,1,2,0,19,0,-,-,9.5,-,0,0,0,0,2017/2018,Lahore Qalandars
10,Asif Ali,6,-,-,-,-,-,-,-,-,-,-,-,5,0,2016/2017,Islamabad United
10,Asif Ali,6,-,-,-,-,-,-,-,-,-,-,-,5,0,2015/2016,Islamabad United
11,Ashir Qureshi,4,2,7,0,61,1,31-Jan,61,8.71,42,0,0,0,0,2021/2022,Quetta Gladiators
11,Arish Ali,1,1,4,0,28,4,28-Apr,7,7,6,1,0,0,0,2020/2021,Quetta Gladiators
11,Anwar Ali,3,3,4,0,50,0,-,-,12.5,-,0,0,2,0,2019/2020,Quetta Gladiators
11,Azam Khan,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Quetta Gladiators
11,RS Bopara,10,5,10,0,101,4,Mar-35,25.25,10.1,15,0,0,6,0,2017/2018,Karachi Kings
11,Azhar Ali,7,2,5,0,30,0,-,-,6,-,0,0,3,0,2016/2017,Lahore Qalandars
11,Azhar Ali,7,2,5,0,30,0,-,-,6,-,0,0,3,0,2015/2016,Lahore Qalandars
12,Asif Afridi,5,5,19,1,124,8,19-Mar,15.5,6.52,14.2,0,0,1,0,2021/2022,Multan Sultans
12,Arshad Iqbal,9,9,29,1,260,8,16-Mar,32.5,8.96,21.7,0,0,1,0,2020/2021,Karachi Kings
12,Arshad Iqbal,7,7,24.2,0,206,9,15-Feb,22.88,8.46,16.2,0,0,0,0,2019/2020,Karachi Kings
12,Babar Azam,11,-,-,-,-,-,-,-,-,-,-,-,7,0,2018/2019,Karachi Kings
12,DM Bravo,5,-,-,-,-,-,-,-,-,-,-,-,3,0,2017/2018,Multan Sultans
12,Azhar Mahmood,2,2,7,0,57,1,22-Jan,57,8.14,42,0,0,2,0,2016/2017,Islamabad United
12,Azhar Mahmood,2,2,7,0,57,1,22-Jan,57,8.14,42,0,0,2,0,2015/2016,Islamabad United
13,Asif Ali,12,1,3,0,27,2,27-Feb,13.5,9,9,0,0,7,0,2021/2022,Islamabad United
13,Asif Ali,12,-,-,-,-,-,-,-,-,-,-,-,2,0,2020/2021,Islamabad United
13,Asad Shafiq,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2019/2020,Multan Sultans
13,IR Bell,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Islamabad United
13,Danish Aziz,1,1,1,0,16,0,-,-,16,-,0,0,0,0,2017/2018,Karachi Kings
13,Babar Azam,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Islamabad United
13,Babar Azam,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Islamabad United
14,Athar Mahmood,3,3,8,0,49,0,-,-,6.12,-,0,0,1,0,2021/2022,Islamabad United
14,Azam Khan,10,-,-,-,-,-,-,-,-,-,-,-,2,0,2020/2021,Quetta Gladiators
14,Asif Ali,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2019/2020,Islamabad United
14,RS Bopara,2,1,2,0,33,0,-,-,16.5,-,0,0,2,0,2018/2019,Karachi Kings
14,LA Dawson,9,8,29,1,242,8,17-Mar,30.25,8.34,21.7,0,0,5,0,2017/2018,Peshawar Zalmi
14,S Badree,6,6,23,1,158,4,20-Jan,39.5,6.86,34.5,0,0,1,0,2016/2017,Islamabad United
14,S Badree,6,6,23,1,158,4,20-Jan,39.5,6.86,34.5,0,0,1,0,2015/2016,Islamabad United
15,Azam Khan,12,-,-,-,-,-,-,-,-,-,-,-,6,3,2021/2022,Islamabad United
15,Babar Azam,11,-,-,-,-,-,-,-,-,-,-,-,5,0,2020/2021,Karachi Kings
15,Azam Khan,9,-,-,-,-,-,-,-,-,-,-,-,2,0,2019/2020,Quetta Gladiators
15,CR Brathwaite,1,1,2,0,25,1,25-Jan,25,12.5,12,0,0,0,0,2018/2019,Lahore Qalandars
15,CS Delport,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2017/2018,Lahore Qalandars
15,JM Bairstow,1,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Peshawar Zalmi
15,JM Bairstow,1,-,-,-,-,-,-,-,-,-,-,-,2,0,2015/2016,Peshawar Zalmi
16,Babar Azam,10,-,-,-,-,-,-,-,-,-,-,-,9,0,2021/2022,Karachi Kings
16,T Banton,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Quetta Gladiators
16,Babar Azam,12,-,-,-,-,-,-,-,-,-,-,-,8,0,2019/2020,Karachi Kings
16,DJ Bravo,6,6,24,0,199,7,19-Mar,28.42,8.29,20.5,0,0,2,0,2018/2019,Quetta Gladiators
16,JL Denly,12,1,2,0,15,0,-,-,7.5,-,0,0,8,0,2017/2018,Karachi Kings
16,Bilawal Bhatti,1,1,4,0,36,2,Feb-36,18,9,12,0,0,0,0,2016/2017,Karachi Kings
16,Bilawal Bhatti,1,1,4,0,36,2,Feb-36,18,9,12,0,0,0,0,2015/2016,Karachi Kings
17,HC Brook,10,-,-,-,-,-,-,-,-,-,-,-,5,0,2021/2022,Lahore Qalandars
17,RS Bopara,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Peshawar Zalmi
17,T Banton,7,-,-,-,-,-,-,-,-,-,-,-,7,0,2019/2020,Peshawar Zalmi
17,J Charles,7,-,-,-,-,-,-,-,-,-,-,-,1,0,2018/2019,Multan Sultans
17,AP Devcich,5,2,2,0,31,0,-,-,15.5,-,0,0,1,0,2017/2018,Lahore Qalandars
17,SW Billings,5,-,-,-,-,-,-,-,-,-,-,-,3,0,2016/2017,Islamabad United
17,SW Billings,5,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Islamabad United
18,PR Brown,2,2,7,0,61,0,-,-,8.71,-,0,0,2,0,2021/2022,Peshawar Zalmi
18,CR Brathwaite,5,5,20,1,159,4,20-Feb,39.75,7.95,30,0,0,2,0,2020/2021,Multan Sultans
18,Bilawal Bhatti,2,2,7,0,67,3,26-Mar,22.33,9.57,14,0,0,0,0,2019/2020,Multan Sultans
18,DT Christian,8,5,10.3,0,113,5,19-Mar,22.6,10.76,12.6,0,0,4,0,2018/2019,Multan Sultans
18,JP Duminy,10,3,9,0,70,1,Jan-38,70,7.77,54,0,0,8,0,2017/2018,Islamabad United
18,Bismillah Khan,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Quetta Gladiators
18,Bismillah Khan,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Quetta Gladiators
19,J Charles,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2021/2022,Multan Sultans
19,J Charles,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2020/2021,Multan Sultans
19,RS Bopara,6,1,2,0,17,0,-,-,8.5,-,0,0,1,0,2019/2020,Multan Sultans
19,Danish Aziz,1,1,0.3,0,6,0,-,-,12,-,0,0,0,0,2018/2019,Quetta Gladiators
19,Faheem Ashraf,12,12,40,1,310,18,19-Mar,17.22,7.75,13.3,0,0,2,0,2017/2018,Islamabad United
19,RS Bopara,9,9,22,0,152,11,16-Jun,13.81,6.9,12,0,1,1,0,2016/2017,Karachi Kings
19,RS Bopara,9,9,22,0,152,11,16-Jun,13.81,6.9,12,0,1,1,0,2015/2016,Karachi Kings
20,JM Clarke,8,-,-,-,-,-,-,-,-,-,-,-,2,1,2021/2022,Karachi Kings
20,DT Christian,5,5,12.2,0,134,4,12-Jan,33.5,10.86,18.5,0,0,2,0,2020/2021,Karachi Kings
20,CR Brathwaite,4,4,9.5,0,83,5,28-Mar,16.6,8.44,11.8,0,0,1,0,2019/2020,Peshawar Zalmi
20,LA Dawson,11,10,23,0,167,3,5-Jan,55.66,7.26,46,0,0,6,0,2018/2019,Peshawar Zalmi
20,Fakhar Zaman,10,3,5,0,32,1,10-Jan,32,6.4,30,0,0,3,0,2017/2018,Lahore Qalandars
20,DJ Bravo,8,8,27,0,226,4,30-Mar,56.5,8.37,40.5,0,0,2,0,2016/2017,Lahore Qalandars
20,DJ Bravo,8,8,27,0,226,4,30-Mar,56.5,8.37,40.5,0,0,2,0,2015/2016,Lahore Qalandars
21,IA Cockbain,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Karachi Kings
21,JM Clarke,5,-,-,-,-,-,-,-,-,-,-,-,5,0,2020/2021,Karachi Kings
21,BCJ Cutting,7,5,16,0,173,8,31-Mar,21.62,10.81,12,0,0,0,0,2019/2020,Quetta Gladiators
21,CS Delport,12,4,9,0,66,4,24-Feb,16.5,7.33,13.5,0,0,1,0,2018/2019,Islamabad United
21,ST Finn,5,5,16,0,124,5,Mar-35,24.8,7.75,19.2,0,0,1,0,2017/2018,Islamabad United
21,E Chigumbura,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Quetta Gladiators
21,E Chigumbura,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2015/2016,Quetta Gladiators
22,BCJ Cutting,9,3,6.5,0,68,1,Jan-37,68,9.95,41,0,0,8,0,2021/2022,Peshawar Zalmi
22,BCJ Cutting,5,3,5.5,0,74,1,23-Jan,74,12.68,35,0,0,3,0,2020/2021,Quetta Gladiators
22,LA Dawson,4,2,5,0,53,0,-,-,10.6,-,0,0,1,0,2019/2020,Peshawar Zalmi
22,AP Devcich,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2018/2019,Lahore Qalandars
22,ADS Fletcher,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2017/2018,Peshawar Zalmi
22,KK Cooper,7,6,17,0,157,6,25-Mar,26.16,9.23,17,0,0,3,0,2016/2017,Lahore Qalandars
22,KK Cooper,7,6,17,0,157,6,25-Mar,26.16,9.23,17,0,0,3,0,2015/2016,Lahore Qalandars
23,Danish Aziz,3,1,0.2,0,6,0,-,-,18,-,0,0,0,0,2021/2022,Islamabad United
23,Danish Aziz,3,1,2,0,15,0,-,-,7.5,-,0,0,2,0,2020/2021,Karachi Kings
23,CS Delport,8,3,9.1,0,93,1,23-Jan,93,10.14,55,0,0,3,0,2019/2020,Karachi Kings
23,AB de Villiers,7,-,-,-,-,-,-,-,-,-,-,-,2,0,2018/2019,Lahore Qalandars
23,Gulraiz Sadaf,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2017/2018,Lahore Qalandars
23,CS Delport,8,5,10.5,0,87,4,18-Mar,21.75,8.03,16.2,0,0,2,0,2016/2017,Lahore Qalandars
23,CS Delport,8,5,10.5,0,87,4,18-Mar,21.75,8.03,16.2,0,0,2,0,2015/2016,Lahore Qalandars
24,TH David,11,3,4,0,38,1,4-Jan,38,9.5,24,0,0,10,0,2021/2022,Multan Sultans
24,TH David,6,-,-,-,-,-,-,-,-,-,-,-,4,0,2020/2021,Lahore Qalandars
24,Dilbar Hussain,11,11,34.3,0,279,14,24-Apr,19.92,8.08,14.7,1,0,2,0,2019/2020,Lahore Qalandars
24,BR Dunk,7,-,-,-,-,-,-,-,-,-,-,-,3,3,2018/2019,Karachi Kings
24,AD Hales,4,-,-,-,-,-,-,-,-,-,-,-,5,0,2017/2018,Islamabad United
24,Ehsan Adil,5,5,19.5,0,170,7,Apr-39,24.28,8.57,17,1,0,1,0,2016/2017,Lahore Qalandars
24,Ehsan Adil,5,5,19.5,0,170,7,Apr-39,24.28,8.57,17,1,0,1,0,2015/2016,Lahore Qalandars
25,LA Dawson,7,7,23.3,1,159,9,16-Mar,17.66,6.76,15.6,0,0,1,0,2021/2022,Islamabad United
25,CS Delport,5,1,1,0,25,0,-,-,25,-,0,0,1,0,2020/2021,Quetta Gladiators
25,BR Dunk,11,-,-,-,-,-,-,-,-,-,-,-,11,0,2019/2020,Lahore Qalandars
25,LJ Evans,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2018/2019,Multan Sultans
25,Hammad Azam,2,1,3.1,0,33,0,-,-,10.42,-,0,0,1,0,2017/2018,Peshawar Zalmi
25,GD Elliott,6,6,22,0,134,11,15-Apr,12.18,6.09,12,1,0,2,0,2016/2017,Quetta Gladiators
25,GD Elliott,6,6,22,0,134,11,15-Apr,12.18,6.09,12,1,0,2,0,2015/2016,Quetta Gladiators
26,M de Lange,5,5,15,0,153,2,Jan-32,76.5,10.2,45,0,0,2,0,2021/2022,Islamabad United
26,JL Denly,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2020/2021,Lahore Qalandars
26,F du Plessis,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2019/2020,Peshawar Zalmi
26,Faheem Ashraf,12,12,44.1,0,322,21,19-Jun,15.33,7.29,12.6,1,1,4,0,2018/2019,Islamabad United
26,Haris Sohail,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2017/2018,Peshawar Zalmi
26,CH Gayle,5,1,1,0,5,0,-,-,5,-,0,0,0,0,2016/2017,Lahore Qalandars
26,CH Gayle,5,1,1,0,5,0,-,-,5,-,0,0,0,0,2015/2016,Lahore Qalandars
27,BM Duckett,4,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Quetta Gladiators
27,BR Dunk,10,-,-,-,-,-,-,-,-,-,-,-,10,0,2020/2021,Lahore Qalandars
27,Faheem Ashraf,7,7,20.4,0,220,7,Feb-34,31.42,10.64,17.7,0,0,4,0,2019/2020,Islamabad United
27,Fakhar Zaman,10,2,3,0,21,0,-,-,7,-,0,0,4,0,2018/2019,Lahore Qalandars
27,Hasan Ali,9,9,35.2,0,284,12,22-Mar,23.66,8.03,17.6,0,0,5,0,2017/2018,Peshawar Zalmi
27,BJ Haddin,8,-,-,-,-,-,-,-,-,-,-,-,7,1,2016/2017,Islamabad United
27,BJ Haddin,8,-,-,-,-,-,-,-,-,-,-,-,7,1,2015/2016,Islamabad United
28,BR Dunk,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Lahore Qalandars
28,F du Plessis,5,-,-,-,-,-,-,-,-,-,-,-,3,0,2020/2021,Quetta Gladiators
28,Fakhar Zaman,12,-,-,-,-,-,-,-,-,-,-,-,10,0,2019/2020,Lahore Qalandars
28,Fawad Ahmed,12,12,45.2,0,298,11,15-Mar,27.09,6.57,24.7,0,0,0,0,2018/2019,Quetta Gladiators
