,season,team,name,role,age,batting,bowling
0,2015/2016,Islamabad United,Amad Butt,Bowling Allrounder,20y 226d,Right hand Bat,Right arm Fast
1,2015/2016,Islamabad United,Babar Azam,Batter,21y 68d,Right hand Bat,Right arm Offbreak
2,2015/2016,Islamabad United,Samuel Badree,Bowler,34y 288d,Right hand Bat,Legbreak
3,2015/2016,Islamabad United,Sam Billings†,Wicketkeeper Batter,24y 190d,Right hand Bat,
4,2015/2016,Islamabad United,Brad Haddin†,Wicketkeeper Batter,38y 60d,Right hand Bat,
5,2015/2016,Islamabad United,Imran Khalid,,32y 358d,Left hand Bat,Slow Left arm Orthodox
6,2015/2016,Islamabad United,Kamran Ghulam,Allrounder,20y 73d,Right hand Bat,Slow Left arm Orthodox
7,2015/2016,Islamabad United,Khalid Latif,Top order Batter,30y 48d,Right hand Bat,Right arm Offbreak
8,2015/2016,Islamabad United,Misbah-ul-Haq,Middle order Batter,41y 208d,Right hand Bat,Legbreak
9,2015/2016,Islamabad United,Mohammad Irfan,Bowler,33y 199d,Right hand Bat,Left arm Fast
10,2015/2016,Islamabad United,Mohammad Sami,Bowler,34y 301d,Right hand Bat,Right arm Fast
11,2015/2016,Islamabad United,Rumman Raees,Bowler,24y 65d,Right hand Bat,Left arm Medium fast
12,2015/2016,Islamabad United,Andre Russell,Allrounder,27y 237d,Right hand Bat,Right arm Fast
13,2015/2016,Islamabad United,Sharjeel Khan,Opening Batter,26y 130d,Left hand Bat,Legbreak
14,2015/2016,Islamabad United,Umar Amin,Top order Batter,26y 67d,Left hand Bat,Right arm Medium
15,2015/2016,Islamabad United,Shane Watson,Allrounder,34y 188d,Right hand Bat,Right arm Fast medium
16,2015/2016,Karachi Kings,Shoaib Malik(c),Allrounder,33y 324d,Right hand Bat,Right arm Offbreak
17,2015/2016,Karachi Kings,Bilawal Bhatti,Bowler,24y 96d,Right hand Bat,Right arm Medium fast
18,2015/2016,Karachi Kings,Ravi Bopara,Batting Allrounder,30y 232d,Right hand Bat,Right arm Medium
19,2015/2016,Karachi Kings,Iftikhar Ahmed,Middle order Batter,25y 110d,Right hand Bat,Right arm Offbreak
20,2015/2016,Karachi Kings,Imad Wasim,Allrounder,27y 4d,Left hand Bat,Slow Left arm Orthodox
21,2015/2016,Karachi Kings,Mir Hamza,Bowler,23y 103d,Left hand Bat,Left arm Medium
22,2015/2016,Karachi Kings,Mohammad Amir,Bowler,23y 253d,Left hand Bat,Left arm Fast medium
23,2015/2016,Karachi Kings,Mushfiqur Rahim†,Wicketkeeper Batter,28y 227d,Right hand Bat,
24,2015/2016,Karachi Kings,Nauman Anwar,Opening Batter,20y 71d,Right hand Bat,Right arm Medium fast
25,2015/2016,Karachi Kings,Saifullah Bangash†,Wicketkeeper Batter,20y 276d,Right hand Bat,
26,2015/2016,Karachi Kings,Shakib Al Hasan,Allrounder,28y 273d,Left hand Bat,Slow Left arm Orthodox
27,2015/2016,Karachi Kings,Lendl Simmons,Top order Batter,30y 331d,Right hand Bat,Right arm Medium fast
28,2015/2016,Karachi Kings,Sohail Khan,Bowler,31y 291d,Right hand Bat,Right arm Fast medium
29,2015/2016,Karachi Kings,Sohail Tanvir,Bowler,31y 10d,Left hand Bat,Left arm Medium fast
30,2015/2016,Karachi Kings,Usama Mir,Bowler,19y 364d,Right hand Bat,Legbreak
31,2015/2016,Karachi Kings,James Vince,Batter,24y 283d,Right hand Bat,Right arm Medium
32,2015/2016,Lahore Qalandars,Adnan Rasool,,34y 233d,Right hand Bat,Right arm Offbreak
33,2015/2016,Lahore Qalandars,Azhar Ali,Top order Batter,30y 304d,Right hand Bat,Legbreak
34,2015/2016,Lahore Qalandars,Dwayne Bravo,Allrounder,32y 74d,Right hand Bat,Right arm Medium
35,2015/2016,Lahore Qalandars,Kevon Cooper,Allrounder,26y 307d,Right hand Bat,Right arm Medium
36,2015/2016,Lahore Qalandars,Cameron Delport,Top order Batter,26y 222d,Left hand Bat,Right arm Medium
37,2015/2016,Lahore Qalandars,Chris Gayle,Allrounder,36y 90d,Left hand Bat,Right arm Offbreak
38,2015/2016,Lahore Qalandars,Hammad Azam,Middle order Batter,24y 279d,Right hand Bat,Right arm Medium
39,2015/2016,Lahore Qalandars,Mohammad Rizwan†,Wicketkeeper Batter,23y 202d,Right hand Bat,
40,2015/2016,Lahore Qalandars,Mustafizur Rahman,Bowler,20y 105d,Left hand Bat,Left arm Fast medium
41,2015/2016,Lahore Qalandars,Naved Yasin,Middle order Batter,28y 158d,Left hand Bat,Slow Left arm Orthodox
42,2015/2016,Lahore Qalandars,Sohaib Maqsood,Middle order Batter,28y 249d,Right hand Bat,Right arm Offbreak
43,2015/2016,Lahore Qalandars,Umar Akmal,Middle order Batter,25y 208d,Right hand Bat,Right arm Offbreak
44,2015/2016,Lahore Qalandars,Yasir Shah,Bowler,29y 232d,Right hand Bat,Legbreak Googly
45,2015/2016,Lahore Qalandars,Zafar Gohar,Bowler,20y 322d,Left hand Bat,Slow Left arm Orthodox
46,2015/2016,Lahore Qalandars,Zia-ul-Haq,,21y 9d,Right hand Bat,Left arm Fast medium
47,2015/2016,Lahore Qalandars,Zohaib Khan,Allrounder,31y 275d,Right hand Bat,Slow Left arm Orthodox
48,2015/2016,Peshawar Zalmi,Aamer Yamin,Allrounder,25y 179d,Right hand Bat,Right arm Medium
49,2015/2016,Peshawar Zalmi,Abdur Rehman,Bowler,35y 296d,Left hand Bat,Slow Left arm Orthodox
50,2015/2016,Peshawar Zalmi,Jim Allenby,Allrounder,33y 101d,Right hand Bat,Right arm Medium
51,2015/2016,Peshawar Zalmi,Jonny Bairstow†,Wicketkeeper Batter,26y 87d,Right hand Bat,Right arm Medium
52,2015/2016,Peshawar Zalmi,Hasan Ali,Bowler,21y 173d,Right hand Bat,Right arm Medium fast
53,2015/2016,Peshawar Zalmi,Imran Khan,Bowler,27y 161d,Right hand Bat,Left arm Medium fast
54,2015/2016,Peshawar Zalmi,Junaid Khan,Bowler,25y 363d,Right hand Bat,Left arm Fast
55,2015/2016,Peshawar Zalmi,Kamran Akmal†,Wicketkeeper Batter,33y 343d,Right hand Bat,
56,2015/2016,Peshawar Zalmi,Dawid Malan,Top order Batter,28y 110d,Left hand Bat,Legbreak
57,2015/2016,Peshawar Zalmi,Mohammad Asghar,Bowler,16y 359d,Right hand Bat,Slow Left arm Orthodox
58,2015/2016,Peshawar Zalmi,Mohammad Hafeez,Allrounder,35y 66d,Right hand Bat,Right arm Offbreak
59,2015/2016,Peshawar Zalmi,Musadiq Ahmed,,26y 241d,Right hand Bat,
60,2015/2016,Peshawar Zalmi,Daren Sammy,Allrounder,32y 2d,Right hand Bat,Right arm Medium
61,2015/2016,Peshawar Zalmi,Shahid Afridi,Allrounder,35y 296d,Right hand Bat,Legbreak Googly
62,2015/2016,Peshawar Zalmi,Shahid Yousaf,Batter,29y 190d,Right hand Bat,Right arm Medium fast
63,2015/2016,Peshawar Zalmi,Shaun Tait,Bowler,32y 303d,Right hand Bat,Right arm Fast
64,2015/2016,Peshawar Zalmi,Tamim Iqbal,Opening Batter,26y 277d,Left hand Bat,
65,2015/2016,Peshawar Zalmi,Wahab Riaz,Bowler,30y 177d,Right hand Bat,Left arm Fast
66,2015/2016,Peshawar Zalmi,Chris Jordan,Bowler,27y 79d,Right hand Bat,Right arm Fast medium
67,2015/2016,Quetta Gladiators,Sarfaraz Ahmed† (c),Wicketkeeper Batter,28y 214d,Right hand Bat,Right arm Offbreak
68,2015/2016,Quetta Gladiators,Ahmed Shehzad,Opening Batter,24y 29d,Right hand Bat,Legbreak
69,2015/2016,Quetta Gladiators,Akbar-ur-Rehman,Allrounder,32y 99d,Right hand Bat,Legbreak Googly
70,2015/2016,Quetta Gladiators,Anwar Ali,Bowler,28y 27d,Right hand Bat,Right arm Medium fast
71,2015/2016,Quetta Gladiators,Asad Shafiq,Middle order Batter,29y 328d,Right hand Bat,Right arm Offbreak
72,2015/2016,Quetta Gladiators,Bilal Asif,Allrounder,30y 89d,Right hand Bat,Right arm Offbreak
73,2015/2016,Quetta Gladiators,Bismillah Khan†,Wicketkeeper Batter,25y 296d,Right hand Bat,
74,2015/2016,Quetta Gladiators,Elton Chigumbura,Allrounder,29y 283d,Right hand Bat,Right arm Fast medium
75,2015/2016,Quetta Gladiators,Mohammad Nabi,Allrounder,30y 355d,Right hand Bat,Right arm Offbreak
76,2015/2016,Quetta Gladiators,Mohammad Nawaz,Allrounder,21y 276d,Left hand Bat,Slow Left arm Orthodox
77,2015/2016,Quetta Gladiators,Kevin Pietersen,Top order Batter,35y 178d,Right hand Bat,Right arm Offbreak
78,2015/2016,Quetta Gladiators,Saad Nasim,Allrounder,25y 237d,Right hand Bat,Legbreak
79,2015/2016,Quetta Gladiators,Umar Gul,Bowler,33y 68d,Right hand Bat,Right arm Fast medium
80,2015/2016,Quetta Gladiators,Luke Wright,Top order Batter,30y 290d,Right hand Bat,Right arm Medium
81,2015/2016,Quetta Gladiators,Zulfiqar Babar,Bowler,37y 12d,Right hand Bat,Slow Left arm Orthodox
82,2015/2016,Quetta Gladiators,Jason Holder,Bowling Allrounder,24y 47d,Right hand Bat,Right arm Medium fast
0,2016/2017,Islamabad United,Misbah-ul-Haq(c),Middle order Batter,42y 240d,Right hand Bat,Legbreak
1,2016/2017,Islamabad United,Amad Butt,Bowling Allrounder,21y 258d,Right hand Bat,Right arm Fast
2,2016/2017,Islamabad United,Asif Ali,Middle order Batter,25y 114d,Right hand Bat,Right arm Offbreak
3,2016/2017,Islamabad United,Samuel Badree,Bowler,35y 320d,Right hand Bat,Legbreak
4,2016/2017,Islamabad United,Sam Billings†,Wicketkeeper Batter,25y 222d,Right hand Bat,
5,2016/2017,Islamabad United,Ben Duckett,Top order Batter,22y 98d,Left hand Bat,Right arm Offbreak
6,2016/2017,Islamabad United,Steven Finn,Bowler,27y 294d,Right hand Bat,Right arm Fast medium
7,2016/2017,Islamabad United,Brad Haddin†,Wicketkeeper Batter,39y 92d,Right hand Bat,
8,2016/2017,Islamabad United,Hussain Talat,Allrounder,20y 346d,Left hand Bat,Right arm Medium fast
9,2016/2017,Islamabad United,Imran Khalid,,34y 25d,Left hand Bat,Slow Left arm Orthodox
10,2016/2017,Islamabad United,Khalid Latif,Top order Batter,31y 80d,Right hand Bat,Right arm Offbreak
11,2016/2017,Islamabad United,Mohammad Irfan,Bowler,34y 231d,Right hand Bat,Left arm Fast
12,2016/2017,Islamabad United,Mohammad Sami,Bowler,35y 334d,Right hand Bat,Right arm Fast
13,2016/2017,Islamabad United,Nicholas Pooran†,Wicketkeeper Batter,21y 113d,Left hand Bat,Right arm Offbreak
14,2016/2017,Islamabad United,Rumman Raees,Bowler,25y 97d,Right hand Bat,Left arm Medium fast
15,2016/2017,Islamabad United,Saeed Ajmal,Bowler,39y 101d,Right hand Bat,Right arm Offbreak
16,2016/2017,Islamabad United,Shadab Khan,Allrounder,18y 111d,Right hand Bat,Legbreak
17,2016/2017,Islamabad United,Sharjeel Khan,Opening Batter,27y 162d,Left hand Bat,Legbreak
18,2016/2017,Islamabad United,Dwayne Smith,Allrounder,33y 286d,Right hand Bat,Right arm Medium
19,2016/2017,Islamabad United,Shane Watson,Allrounder,35y 220d,Right hand Bat,Right arm Fast medium
20,2016/2017,Islamabad United,Zohaib Khan,Allrounder,32y 309d,Right hand Bat,Slow Left arm Orthodox
21,2016/2017,Karachi Kings,Kumar Sangakkara(c),Wicketkeeper Batter,39y 88d,Left hand Bat,Right arm Offbreak
22,2016/2017,Karachi Kings,Abrar Ahmed,Bowler,18y 99d,Right hand Bat,Legbreak Googly
23,2016/2017,Karachi Kings,Babar Azam,Batter,22y 100d,Right hand Bat,Right arm Offbreak
24,2016/2017,Karachi Kings,Ravi Bopara,Batting Allrounder,31y 264d,Right hand Bat,Right arm Medium
25,2016/2017,Karachi Kings,Chris Gayle,Allrounder,37y 124d,Left hand Bat,Right arm Offbreak
26,2016/2017,Karachi Kings,Hasan Mohsin,Middle order Batter,19y 12d,Right hand Bat,Right arm Medium
27,2016/2017,Karachi Kings,Imad Wasim,Allrounder,28y 36d,Left hand Bat,Slow Left arm Orthodox
28,2016/2017,Karachi Kings,Mahela Jayawardene,Batter,39y 241d,Right hand Bat,Right arm Medium
29,2016/2017,Karachi Kings,Kashif Bhatti,Allrounder,30y 182d,Right hand Bat,Slow Left arm Orthodox
30,2016/2017,Karachi Kings,Khurram Manzoor,Opening Batter,30y 227d,Right hand Bat,Right arm Offbreak
31,2016/2017,Karachi Kings,Ryan McLaren,Allrounder,33y 349d,Left hand Bat,Right arm Medium fast
32,2016/2017,Karachi Kings,Mohammad Amir,Bowler,24y 285d,Left hand Bat,Left arm Fast medium
33,2016/2017,Karachi Kings,Kieron Pollard,Batting Allrounder,29y 256d,Right hand Bat,Right arm Medium
34,2016/2017,Karachi Kings,Rahat Ali,Bowler,28y 133d,Right hand Bat,Left arm Fast medium
35,2016/2017,Karachi Kings,Saifullah Bangash†,Wicketkeeper Batter,21y 308d,Right hand Bat,
36,2016/2017,Karachi Kings,Shahzaib Hasan,Opening Batter,27y 29d,Right hand Bat,Right arm Offbreak
37,2016/2017,Karachi Kings,Shoaib Malik,Allrounder,34y 357d,Right hand Bat,Right arm Offbreak
38,2016/2017,Karachi Kings,Sohail Khan,Bowler,32y 323d,Right hand Bat,Right arm Fast medium
39,2016/2017,Karachi Kings,Usama Mir,Bowler,21y 31d,Right hand Bat,Legbreak
40,2016/2017,Karachi Kings,Usman Shinwari,Bowler,23y 18d,Right hand Bat,Left arm Medium fast
41,2016/2017,Lahore Qalandars,Brendon McCullum(c),Wicketkeeper Batter,35y 118d,Right hand Bat,"Right arm Medium, Right arm Offbreak"
42,2016/2017,Lahore Qalandars,Aamer Yamin,Allrounder,26y 211d,Right hand Bat,Right arm Medium
43,2016/2017,Lahore Qalandars,Azhar Ali,Top order Batter,31y 339d,Right hand Bat,Legbreak
44,2016/2017,Lahore Qalandars,Bilawal Bhatti,Bowler,25y 128d,Right hand Bat,Right arm Medium fast
45,2016/2017,Lahore Qalandars,Cameron Delport,Top order Batter,27y 256d,Left hand Bat,Right arm Medium
46,2016/2017,Lahore Qalandars,Grant Elliott,Allrounder,37y 308d,Right hand Bat,Right arm Medium
47,2016/2017,Lahore Qalandars,Fakhar Zaman,Opening Batter,26y 288d,Left hand Bat,Slow Left arm Orthodox
48,2016/2017,Lahore Qalandars,James Franklin,Allrounder,36y 77d,Left hand Bat,Left arm Medium
49,2016/2017,Lahore Qalandars,Ghulam Mudassar,Bowler,17y 91d,Right hand Bat,Left arm Fast medium
50,2016/2017,Lahore Qalandars,Chris Green,Bowling Allrounder,23y 114d,Right hand Bat,Right arm Offbreak
51,2016/2017,Lahore Qalandars,Mohammad Irfan,Bowler,21y 253d,Right hand Bat,Right arm Medium
52,2016/2017,Lahore Qalandars,Mohammad Rizwan†,Wicketkeeper Batter,24y 236d,Right hand Bat,
53,2016/2017,Lahore Qalandars,Sunil Narine,Bowling Allrounder,28y 242d,Left hand Bat,Right arm Offbreak
54,2016/2017,Lahore Qalandars,Jason Roy,Opening Batter,26y 186d,Right hand Bat,
55,2016/2017,Lahore Qalandars,Saif Badar,Middle order Batter,18y 204d,Right hand Bat,Legbreak Googly
56,2016/2017,Lahore Qalandars,Sohail Tanvir,Bowler,32y 42d,Left hand Bat,Left arm Medium fast
57,2016/2017,Lahore Qalandars,Umar Akmal,Middle order Batter,26y 242d,Right hand Bat,Right arm Offbreak
58,2016/2017,Lahore Qalandars,Usman Qadir,Bowler,23y 166d,Left hand Bat,Legbreak
59,2016/2017,Lahore Qalandars,Yasir Shah,Bowler,30y 266d,Right hand Bat,Legbreak Googly
60,2016/2017,Lahore Qalandars,Zafar Gohar,Bowler,21y 357d,Left hand Bat,Slow Left arm Orthodox
61,2016/2017,Peshawar Zalmi,Daren Sammy(c),Allrounder,33y 34d,Right hand Bat,Right arm Medium
62,2016/2017,Peshawar Zalmi,Tillakaratne Dilshan,Allrounder,40y 101d,Right hand Bat,Right arm Offbreak
63,2016/2017,Peshawar Zalmi,Andre Fletcher,Top order Batter,29y 56d,Right hand Bat,"Right arm Medium fast, Legbreak"
64,2016/2017,Peshawar Zalmi,Haris Sohail,Middle order Batter,28y 14d,Left hand Bat,Slow Left arm Orthodox
65,2016/2017,Peshawar Zalmi,Hasan Ali,Bowler,22y 205d,Right hand Bat,Right arm Medium fast
66,2016/2017,Peshawar Zalmi,Iftikhar Ahmed,Middle order Batter,26y 142d,Right hand Bat,Right arm Offbreak
67,2016/2017,Peshawar Zalmi,Imran Khan,Bowler,28y 193d,Right hand Bat,Left arm Medium fast
68,2016/2017,Peshawar Zalmi,Chris Jordan,Bowler,28y 111d,Right hand Bat,Right arm Fast medium
69,2016/2017,Peshawar Zalmi,Junaid Khan,Bowler,27y 30d,Right hand Bat,Left arm Fast
70,2016/2017,Peshawar Zalmi,Kamran Akmal†,Wicketkeeper Batter,35y 10d,Right hand Bat,
71,2016/2017,Peshawar Zalmi,Khushdil Shah,Middle order Batter,21y 351d,Left hand Bat,Slow Left arm Orthodox
72,2016/2017,Peshawar Zalmi,Mohammad Asghar,Bowler,18y 26d,Right hand Bat,Slow Left arm Orthodox
73,2016/2017,Peshawar Zalmi,Mohammad Hafeez,Allrounder,36y 98d,Right hand Bat,Right arm Offbreak
74,2016/2017,Peshawar Zalmi,Eoin Morgan,Middle order Batter,30y 135d,Left hand Bat,Right arm Medium
75,2016/2017,Peshawar Zalmi,Samit Patel,Allrounder,32y 54d,Right hand Bat,Slow Left arm Orthodox
76,2016/2017,Peshawar Zalmi,Marlon Samuels,Top order Batter,35y 353d,Right hand Bat,Right arm Offbreak
77,2016/2017,Peshawar Zalmi,Shahid Afridi,Allrounder,36y 328d,Right hand Bat,Legbreak Googly
78,2016/2017,Peshawar Zalmi,Shakib Al Hasan,Allrounder,29y 305d,Left hand Bat,Slow Left arm Orthodox
79,2016/2017,Peshawar Zalmi,Sohaib Maqsood,Middle order Batter,29y 283d,Right hand Bat,Right arm Offbreak
80,2016/2017,Peshawar Zalmi,Tamim Iqbal,Opening Batter,27y 309d,Left hand Bat,
81,2016/2017,Peshawar Zalmi,Wahab Riaz,Bowler,31y 209d,Right hand Bat,Left arm Fast
82,2016/2017,Quetta Gladiators,Sarfaraz Ahmed(c),Wicketkeeper Batter,29y 246d,Right hand Bat,Right arm Offbreak
83,2016/2017,Quetta Gladiators,Ahmed Shehzad,Opening Batter,25y 61d,Right hand Bat,Legbreak
84,2016/2017,Quetta Gladiators,Anwar Ali,Bowler,29y 59d,Right hand Bat,Right arm Medium fast
85,2016/2017,Quetta Gladiators,Asad Shafiq,Middle order Batter,30y 361d,Right hand Bat,Right arm Offbreak
86,2016/2017,Quetta Gladiators,Bismillah Khan†,Wicketkeeper Batter,26y 328d,Right hand Bat,
87,2016/2017,Quetta Gladiators,Hassan Khan,Bowler,18y 99d,Right hand Bat,Slow Left arm Orthodox
88,2016/2017,Quetta Gladiators,Mahmudullah,Allrounder,30y 354d,Right hand Bat,Right arm Offbreak
89,2016/2017,Quetta Gladiators,Nathan McCullum,Bowler,36y 144d,Right hand Bat,Right arm Offbreak
90,2016/2017,Quetta Gladiators,Tymal Mills,Bowler,24y 164d,Right hand Bat,Left arm Fast
91,2016/2017,Quetta Gladiators,Mir Hamza,Bowler,24y 135d,Left hand Bat,Left arm Medium
92,2016/2017,Quetta Gladiators,Mohammad Nawaz,Allrounder,22y 308d,Left hand Bat,Slow Left arm Orthodox
93,2016/2017,Quetta Gladiators,Noor Wali,,20y 148d,Right hand Bat,Right arm Medium
94,2016/2017,Quetta Gladiators,Thisara Perera,Bowling Allrounder,27y 295d,Left hand Bat,Right arm Medium fast
95,2016/2017,Quetta Gladiators,Kevin Pietersen,Top order Batter,36y 210d,Right hand Bat,Right arm Offbreak
96,2016/2017,Quetta Gladiators,Rilee Rossouw,Top order Batter,27y 106d,Left hand Bat,Right arm Offbreak
97,2016/2017,Quetta Gladiators,Saad Nasim,Allrounder,26y 269d,Right hand Bat,Legbreak
98,2016/2017,Quetta Gladiators,Umar Amin,Top order Batter,27y 99d,Left hand Bat,Right arm Medium
99,2016/2017,Quetta Gladiators,Umar Gul,Bowler,34y 100d,Right hand Bat,Right arm Fast medium
100,2016/2017,Quetta Gladiators,Luke Wright,Top order Batter,31y 322d,Right hand Bat,Right arm Medium
101,2016/2017,Quetta Gladiators,Zulfiqar Babar,Bowler,38y 44d,Right hand Bat,Slow Left arm Orthodox
0,2017/2018,Islamabad United,Misbah-ul-Haq(c),Middle order Batter,43y 268d,Right hand Bat,Legbreak
1,2017/2018,Islamabad United,Amad Butt,Bowling Allrounder,22y 286d,Right hand Bat,Right arm Fast
2,2017/2018,Islamabad United,Asif Ali,Middle order Batter,26y 142d,Right hand Bat,Right arm Offbreak
3,2017/2018,Islamabad United,Samuel Badree,Bowler,36y 348d,Right hand Bat,Legbreak
4,2017/2018,Islamabad United,Sam Billings†,Wicketkeeper Batter,26y 250d,Right hand Bat,
5,2017/2018,Islamabad United,Jean-Paul Duminy,Batting Allrounder,33y 312d,Left hand Bat,Right arm Offbreak
6,2017/2018,Islamabad United,Faheem Ashraf,Bowling Allrounder,24y 35d,Left hand Bat,Right arm Medium
7,2017/2018,Islamabad United,Steven Finn,Bowler,28y 322d,Right hand Bat,Right arm Fast medium
8,2017/2018,Islamabad United,Alex Hales,Opening Batter,29y 48d,Right hand Bat,Right arm Medium
9,2017/2018,Islamabad United,Hussain Talat,Allrounder,22y 8d,Left hand Bat,Right arm Medium fast
10,2017/2018,Islamabad United,Iftikhar Ahmed,Middle order Batter,27y 170d,Right hand Bat,Right arm Offbreak
11,2017/2018,Islamabad United,Mohammad Hasan,Middle order Batter,27y 139d,Right hand Bat,
12,2017/2018,Islamabad United,Mohammad Sami,Bowler,36y 361d,Right hand Bat,Right arm Fast
13,2017/2018,Islamabad United,Samit Patel,Allrounder,33y 82d,Right hand Bat,Slow Left arm Orthodox
14,2017/2018,Islamabad United,Rohail Nazir†,Wicketkeeper Batter,16y 133d,Right hand Bat,
15,2017/2018,Islamabad United,Luke Ronchi†,Wicketkeeper Batter,36y 303d,Right hand Bat,
16,2017/2018,Islamabad United,Rumman Raees,Bowler,26y 125d,Right hand Bat,Left arm Medium fast
17,2017/2018,Islamabad United,Andre Russell,Allrounder,29y 297d,Right hand Bat,Right arm Fast
18,2017/2018,Islamabad United,Sahibzada Farhan,Middle order Batter,21y 351d,Right hand Bat,
19,2017/2018,Islamabad United,Shadab Khan,Allrounder,19y 139d,Right hand Bat,Legbreak
20,2017/2018,Islamabad United,Chadwick Walton,Top order Batter,32y 232d,Right hand Bat,
21,2017/2018,Islamabad United,Zafar Gohar,Bowler,23y 19d,Left hand Bat,Slow Left arm Orthodox
22,2017/2018,Karachi Kings,Babar Azam,Batter,23y 128d,Right hand Bat,Right arm Offbreak
23,2017/2018,Karachi Kings,Ravi Bopara,Batting Allrounder,32y 292d,Right hand Bat,Right arm Medium
24,2017/2018,Karachi Kings,Joe Denly,Top order Batter,31y 341d,Right hand Bat,Legbreak
25,2017/2018,Karachi Kings,Hasan Mohsin,Middle order Batter,20y 40d,Right hand Bat,Right arm Medium
26,2017/2018,Karachi Kings,Imad Wasim,Allrounder,29y 64d,Left hand Bat,Slow Left arm Orthodox
27,2017/2018,Karachi Kings,Colin Ingram,Top order Batter,32y 232d,Left hand Bat,Legbreak
28,2017/2018,Karachi Kings,Khurram Manzoor,Opening Batter,31y 255d,Right hand Bat,Right arm Offbreak
29,2017/2018,Karachi Kings,Tymal Mills,Bowler,25y 192d,Right hand Bat,Left arm Fast
30,2017/2018,Karachi Kings,Mohammad Amir,Bowler,25y 313d,Left hand Bat,Left arm Fast medium
